Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
2020 Honda HR-V 1.8 V SUV - NEW CAR CONDITION FREE 3 YEAR WARRNATY NEG YEAR PROMOTION NEGO SAMPAI JADI,RM 800 / month,"RM 61,700",Honda HR-V,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2023 Honda City 1.5 V Sedan - NEW CAR CONDITION ENG YEAR PROMOTION NEGO GO SAMPAI JADI,RM 813 / month,"RM 62,700",Honda City,20 - 25K KM,Automatic,"Selangor, Petaling Jaya"
2018 Honda CR-V 1.5 TC-P SUV - CAR KING CONDITION,RM 917 / month,"RM 70,700",Honda CR-V,130 - 135K KM,Automatic,"Selangor, Petaling Jaya"
2018 Honda Jazz 1.5 E Hatchback - CAR KING CONDITION SO CAREFUL OWNER,RM 605 / month,"RM 46,700",Honda Jazz,105 - 110K KM,Automatic,"Selangor, Petaling Jaya"
2016 Proton Preve 1.6 CFE Premium Sedan - CASH OLNY NEGO SAMPAI JADI WC TO TEST DRIVE,RM 178 / month,"RM 13,700",Proton Preve,80 - 85K KM,Automatic,"Selangor, Puchong"
2020 Honda City 1.5 V Sedan,RM 762 / month,"RM 58,800",Honda City,60 - 65K KM,Automatic,"Penang, Nibong Tebal"
"2021 Mitsubishi Triton 2.4 VGT Athlete Dual Cab 4X4 Pickup - VGT Athlete Dual Cab , NO PROCESSING FEE , FREE 1 YEAR WARRANTY , APPLE CAR PLAY ANDROID AUTO , 360 CAMERA 1 OWNER","RM 1,060 / month","RM 81,800",Mitsubishi Triton,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
"2017 Toyota Fortuner 2.7 SRZ SUV - 4x4 , TRD BODYKIT , 1 YEAR WARRANTY , FULL SERVICE RECORD , PADDLE SHIFTERS , 7 SEATERS , POWER BOOT 1 OWNER","RM 1,086 / month","RM 83,800",Toyota Fortuner,100 - 105K KM,Automatic,"Selangor, Kajang"
2021 Toyota Hilux 2.4 E Dual Cab Pickup,"RM 1,167 / month","RM 90,000",Toyota Hilux,75 - 80K KM,Automatic,"Johor, Johor Bahru"
2022 Toyota Vios 1.5 G Sedan - new Year Promo,Special offer - call now!,4 days 23 hours,Toyota Vios,45 - 50K KM,Automatic,"Melaka, Melaka"
2023 Toyota Vios 1.5 G Sedan - New Year Sale,"RM 72,454  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 72,454"" and is now 1% below market price","-1% RM 71,800",Toyota Vios,20 - 25K KM,Automatic,"Melaka, Melaka"
2021 Proton X50 1.5 Premium SUV,RM 822 / month,"RM 63,400",Proton X50,65 - 70K KM,Automatic,"Perak, Sitiawan"
2019 Honda Civic 1.8 S Sedan,"RM 70,113  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 70,113"" and is now 5% below market price","-5% RM 66,900",Honda Civic,101147 KM,Automatic,"Selangor, Petaling Jaya"
2016 Toyota Vios 1.5 G Sedan,"RM 44,312  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 44,312"" and is now 1% below market price","-1% RM 43,800",Toyota Vios,151164 KM,Automatic,"Selangor, Petaling Jaya"
2021 Perodua Ativa 1.0 AV SUV - NEW STOCK CONDITION LIKE NEW,RM 726 / month,"RM 56,000",Perodua Ativa,35 - 40K KM,Automatic,"Selangor, Petaling Jaya"
2022 MINI Countryman 2.0 Cooper S SUV - Facelift F60,"RM 2,022 / month","RM 156,000",MINI Countryman,35 - 40K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2014/2023 Honda Odyssey 2.4 EX MPV - CAR KING CONDITION,RM 761 / month,"RM 58,700",Honda Odyssey,100 - 105K KM,Automatic,"Selangor, Petaling Jaya"
2016 Hyundai Tucson 2.0 Executive SUV - WITH WARRANTY,RM 485 / month,"RM 37,400",Hyundai Tucson,105 - 110K KM,Automatic,"Selangor, Petaling Jaya"
2019 Mercedes-Benz E350 2.0 AMG Line Sedan - (A) PREMIUM SELECTION,"RM 164,886  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 164,886"" and is now 4% below market price","-4% RM 158,800",Mercedes-Benz E350,60 - 65K KM,Automatic,"Penang, Bukit Mertajam"
2021 Toyota Corolla Altis 1.8 G Sedan - ONE OWNER WITH WARRANTY,"RM 1,153 / month","RM 88,900",Toyota Corolla Altis,85 - 90K KM,Automatic,"Selangor, Petaling Jaya"
2019 Toyota Yaris 1.5 E Hatchback - ONE CAREFUL OWNER WITH WARRANTY,RM 710 / month,"RM 54,800",Toyota Yaris,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2022 Honda City 1.5 V Sedan - WITH WARRANTY,RM 880 / month,"RM 67,900",Honda City,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2015 Nissan Almera 1.5 V Sedan - WITH WARRANTY,RM 324 / month,"RM 25,000",Nissan Almera,85 - 90K KM,Automatic,"Selangor, Petaling Jaya"
2015 Toyota Vios 1.5 G Sedan - WITH WARRANTY,RM 511 / month,"RM 39,400",Toyota Vios,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2012 Perodua Viva 1.0 EZ Hatchback - WITH WARRANTY,RM 193 / month,"RM 14,900",Perodua Viva,145 - 150K KM,Automatic,"Selangor, Petaling Jaya"
2011 Perodua Myvi 1.3 EZi Hatchback - WITH WARRANTY,RM 223 / month,"RM 17,200",Perodua Myvi,200 - 205K KM,Automatic,"Selangor, Petaling Jaya"
2022 Proton Persona 1.6 Executive Sedan,RM 506 / month,"RM 39,000",Proton Persona,100 - 105K KM,Automatic,"Sarawak, Kuching"
2021 BMW X3 2.0 sDrive20i X-Line SUV - (A) PREMIUM SELECTION,"RM 1,994 / month","RM 153,800",BMW X3,40 - 45K KM,Automatic,"Penang, Bukit Mertajam"
2016 Land Rover Range Rover 4.4 SDV8 Vogue Autobiography LWB SUV - Vogue Autobiography LWB Facelift SV,"RM 331,540  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 331,540"" and is now 20% below market price","-20% RM 265,000",Land Rover Range Rover,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2021 Toyota Avanza 1.5 S MPV,RM 775 / month,"RM 59,800",Toyota Avanza,65 - 70K KM,Automatic,"Penang, Nibong Tebal"
2019/2020 BMW M2 3.0 Competition Coupe - Local Unit Imported New CBU,"RM 3,228 / month","RM 249,000",BMW M2,20 - 25K KM,Automatic,"Selangor, Petaling Jaya"
2013 Honda Jazz 1.5 Hatchback,RM 333 / month,"RM 25,700",Honda Jazz,115 - 120K KM,Automatic,"Selangor, Petaling Jaya"
"2015 Mercedes-Benz C250 2.0 AMG Line Sedan - , 63K LOW MILEAGE , FULL SERVICE RECORD IN C C , 1 YEAR WARRANTY , MICHELIN TYRES , SUNROOF 1 OWNER",RM 905 / month,"RM 69,800",Mercedes-Benz C250,60 - 65K KM,Automatic,"Selangor, Kajang"
2019 Honda HR-V 1.8 V SUV,RM 722 / month,"RM 55,700",Honda HR-V,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2021 Toyota Corolla Altis 1.8 G Sedan,RM 994 / month,"RM 76,700",Toyota Corolla Altis,130 - 135K KM,Automatic,"Selangor, Petaling Jaya"
2011 Perodua Alza 1.5 EZi (Metallic) MPV - CASH OLNY NEGO SAMPAI JADI,RM 204 / month,"RM 15,700",Perodua Alza,130 - 135K KM,Automatic,"Selangor, Puchong"
2022 Honda City 1.5 E Sedan,RM 670 / month,"RM 51,700",Honda City,85 - 90K KM,Automatic,"Selangor, Petaling Jaya"
2022 Mercedes-Benz A250 2.0 AMG Line Sedan,"RM 1,928 / month","RM 148,700",Mercedes-Benz A250,25 - 30K KM,Automatic,"Selangor, Petaling Jaya"
2018 Toyota Vios 1.5 TRD Sportivo Sedan - (A) Real 1Careful Owner Low Mileage 2 Type Sport Rim Choose,RM 561 / month,"RM 43,300",Toyota Vios,95 - 100K KM,Automatic,"Johor, Nusajaya"
2018 Toyota Vellfire 2.5 ZG MPV - TIPTOP CONDITION FULL SERVICE RECORD ORI LOW MILEAGE,"RM 1,941 / month","RM 149,700",Toyota Vellfire,70 - 75K KM,Automatic,"Selangor, Petaling Jaya"
2023 Honda Accord 1.5 TC Sedan,"RM 1,785 / month","RM 137,700",Honda Accord,10 - 15K KM,Automatic,"Selangor, Petaling Jaya"
2017 BMW X1 2.0 sDrive20i SUV - 1 LADY OWNER HAVE POWER BOOT VERY WELL MAINTINT,RM 700 / month,"RM 53,999",BMW X1,160 - 165K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
2023 Honda City 1.5 V Hatchback,RM 878 / month,"RM 67,700",Honda City,55 - 60K KM,Automatic,"Selangor, Petaling Jaya"
2014 Toyota Camry 2.0 GX Sedan,RM 634 / month,"RM 48,888",Toyota Camry,120 - 125K KM,Automatic,"Johor, Johor Bahru"
2021 Honda City 1.5 E Sedan,RM 618 / month,"RM 47,700",Honda City,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2020 Nissan Almera 1.5 E Sedan - CASH NEGO CAR KING CONDITION,RM 346 / month,"RM 26,700",Nissan Almera,80 - 85K KM,Automatic,"Selangor, Petaling Jaya"
2018 Honda Civic 1.5 TC-P Sedan,RM 878 / month,"RM 67,700",Honda Civic,100 - 105K KM,Automatic,"Selangor, Petaling Jaya"
2019 Proton X70 1.8 Executive SUV - SUPER CAR KING CONDITION NEGO SAMPAI JADI,RM 450 / month,"RM 34,700",Proton X70,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2015 Toyota Vios 1.5 J Sedan - JDM STYE IF YOU LIKE CAR THIS STILL RECOMMEND GOT CAR REPORT FREE WARRANT,RM 372 / month,"RM 28,700",Toyota Vios,130 - 135K KM,Manual,"Selangor, Petaling Jaya"
2017 MINI Cooper 2.0 S 3 Door Hatchback - 1 LADY OWNER JCW BODY KIT AND JCW STEERING WHEEL WITH JCW SPORT RIMLOW MILEAGE 54K ONLY,"RM 1,232 / month","RM 94,999",MINI Cooper,50 - 55K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
2013 Toyota Camry 2.0 G Sedan - CAR KING CONDITION CASH NEGO SAMPAI JADI WC TO TEST DRIVE,RM 411 / month,"RM 31,700",Toyota Camry,135 - 140K KM,Automatic,"Selangor, Petaling Jaya"
2013 Toyota Camry 2.0 G Sedan - ONE OWNER GOOD CONDITION,RM 503 / month,"RM 38,800",Toyota Camry,115 - 120K KM,Automatic,"Selangor, Puchong"
2019/2020 BMW 530e 2.0 M Sport Sedan - Hybrid 1 OWNER STILL UNDER WARRANTY UNTIL 2028,"RM 1,128 / month","RM 87,000",BMW 530e,85 - 90K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
2018 Honda City 1.5 E Sedan - FULL SERVICE RECORD GOOD CONDITION,RM 463 / month,"RM 35,700",Honda City,135 - 140K KM,Automatic,"Selangor, Puchong"
2020 Honda Civic 1.5 TC Sedan - GOOD CONDITION,RM 943 / month,"RM 72,700",Honda Civic,75 - 80K KM,Automatic,"Selangor, Puchong"
2024 Toyota Vios 1.5 G Sedan - FULL SERVICE RECORD WARRANTY UNTIL 2029,RM 878 / month,"RM 67,700",Toyota Vios,35 - 40K KM,Automatic,"Selangor, Puchong"
"2017 Perodua Myvi 1.5 SE Hatchback - AUTO POWERFUL, RELIABLE, READY TO GO",RM 432 / month,"RM 33,300",Perodua Myvi,110 - 115K KM,Automatic,"Kuala Lumpur, Setiawangsa"
2016 Toyota Vellfire 2.5 MPV - BODY KIT TIPTOP CONDITION,"RM 1,370 / month","RM 105,700",Toyota Vellfire,75 - 80K KM,Automatic,"Selangor, Puchong"
2023 Mazda CX-30 2.0 SKYACTIV-G High Plus SUV - LIKE NEW,"RM 1,530 / month","RM 118,000",Mazda CX-30,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2023 Isuzu D-Max 1.9 Auto Plus Dual Cab Pickup,"RM 1,185 / month","RM 91,400",Isuzu D-Max,40 - 45K KM,Automatic,"Penang, Juru"
2017 Honda HR-V 1.8 V SUV,RM 681 / month,"RM 52,500",Honda HR-V,115 - 120K KM,Automatic,"Penang, Juru"
2015 Honda City 1.5 E Sedan,RM 423 / month,"RM 32,600",Honda City,155 - 160K KM,Automatic,"Penang, Juru"
2020 Toyota Vios 1.5 G Sedan,RM 764 / month,"RM 58,900",Toyota Vios,70 - 75K KM,Automatic,"Penang, Juru"
2014 Perodua Alza 1.5 Advance MPV,RM 389 / month,"RM 30,000",Perodua Alza,195 - 200K KM,Automatic,"Penang, Juru"
2020 Mazda CX-5 2.0 SKYACTIV-G High SUV,"RM 1,159 / month","RM 89,400",Mazda CX-5,105 - 110K KM,Automatic,"Penang, Juru"
2020 Perodua Bezza 1.3 Advance Sedan,RM 537 / month,"RM 41,400",Perodua Bezza,70 - 75K KM,Automatic,"Penang, Juru"
2015 Toyota Vios 1.5 G Sedan,RM 511 / month,"RM 39,400",Toyota Vios,100 - 105K KM,Automatic,"Penang, Juru"
2022 Perodua AXIA 1.0 Style Hatchback,RM 490 / month,"RM 37,800",Perodua AXIA,35 - 40K KM,Automatic,"Penang, Juru"
2020 Perodua Myvi 1.5 AV Hatchback,RM 568 / month,"RM 43,800",Perodua Myvi,85 - 90K KM,Automatic,"Penang, Juru"
2019 Toyota Yaris 1.5 E Hatchback,RM 710 / month,"RM 54,800",Toyota Yaris,85 - 90K KM,Automatic,"Penang, Juru"
2019 Toyota Yaris 1.5 G Hatchback,RM 731 / month,"RM 56,400",Toyota Yaris,125 - 130K KM,Automatic,"Penang, Juru"
2015 Perodua Myvi 1.3 X Hatchback,RM 322 / month,"RM 24,800",Perodua Myvi,80 - 85K KM,Automatic,"Penang, Juru"
2023 Isuzu D-Max 1.9 Auto Plus Dual Cab Pickup,"RM 1,185 / month","RM 91,400",Isuzu D-Max,40 - 45K KM,Automatic,"Penang, Juru"
2020 Subaru XV 2.0 SUV - SPORTY WITH CONFIDENCE I-P,RM 849 / month,"RM 65,500",Subaru XV,110 - 115K KM,Automatic,"Kuala Lumpur, Setiawangsa"
"2018 Proton Persona 1.6 Premium Sedan - KEMAS, SELESA KESELAMATAN 5-STAR BULANAN DARI RM3XX (Pinjaman sehingga 9 Tahun)",RM 363 / month,"RM 28,000",Proton Persona,120 - 125K KM,Automatic,"Penang, Juru"
2014 Perodua Alza 1.5 Advance MPV,RM 389 / month,"RM 30,000",Perodua Alza,30 - 35K KM,Automatic,"Penang, Juru"
2017 Honda HR-V 1.8 V SUV,RM 681 / month,"RM 52,500",Honda HR-V,115 - 120K KM,Automatic,"Penang, Juru"
2020 Perodua Myvi 1.5 AV Hatchback,RM 568 / month,"RM 43,800",Perodua Myvi,70 - 75K KM,Automatic,"Penang, Juru"
2017 Honda HR-V 1.8 V SUV,RM 681 / month,"RM 52,500",Honda HR-V,115 - 120K KM,Automatic,"Penang, Juru"
2015 Honda City 1.5 E Sedan,RM 423 / month,"RM 32,600",Honda City,155 - 160K KM,Automatic,"Penang, Juru"
2015 Honda City 1.5 E Sedan,RM 423 / month,"RM 32,600",Honda City,155 - 160K KM,Automatic,"Penang, Juru"
2014 Toyota Corolla Altis 2.0 V Sedan - 1 LADY OWNER SERVICE BY FULL BODYKIT LEATHER SEAT,RM 532 / month,"RM 40,999",Toyota Corolla Altis,150 - 155K KM,Automatic,"Kuala Lumpur, Jalan Tun Ismail"
2020 Perodua AXIA 1.0 Style Hatchback,RM 420 / month,"RM 32,400",Perodua AXIA,100 - 105K KM,Automatic,"Penang, Juru"
2025 BMW X1 2.0 sDrive20i xLine SUV - USED,"RM 2,891 / month","RM 223,000",BMW X1,0 - 5K KM,Automatic,"Johor, Skudai"
2020 Toyota Vios 1.5 G Sedan,RM 764 / month,"RM 58,900",Toyota Vios,70 - 75K KM,Automatic,"Penang, Juru"
2020 Perodua Bezza 1.3 Advance Sedan,RM 537 / month,"RM 41,400",Perodua Bezza,70 - 75K KM,Automatic,"Penang, Juru"
2015 Toyota Vios 1.5 G Sedan,RM 511 / month,"RM 39,400",Toyota Vios,100 - 105K KM,Automatic,"Penang, Juru"
2019 Toyota Yaris 1.5 E Hatchback,RM 710 / month,"RM 54,800",Toyota Yaris,85 - 90K KM,Automatic,"Penang, Juru"
2022 Perodua AXIA 1.0 Style Hatchback - NEW CONDITION CAR,RM 490 / month,"RM 37,800",Perodua AXIA,35 - 40K KM,Automatic,"Penang, Juru"
2020 Perodua Myvi 1.5 AV Hatchback,RM 568 / month,"RM 43,800",Perodua Myvi,85 - 90K KM,Automatic,"Penang, Juru"
2017 Mercedes-Benz A180 1.6 Urban Line Hatchback - REGISTER 2020 GOOD CONDITION,RM 878 / month,"RM 67,700",Mercedes-Benz A180,80 - 85K KM,Automatic,"Selangor, Puchong"
2013 Proton Exora 1.6 Bold CFE Premium MPV,RM 246 / month,"RM 19,000",Proton Exora,200 - 205K KM,Automatic,"Perak, Seri Manjong"
2022 Nissan Navara 2.5 PRO-4X Dual Cab Pickup,"RM 96,765  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 96,765"" and is now 5% below market price","-5% RM 92,200",Nissan Navara,90 - 95K KM,Automatic,"Sabah, Inanam"
2019 Subaru XV 2.0 P SUV - GOOD CONDITION,RM 674 / month,"RM 52,000",Subaru XV,90 - 95K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2022 Perodua AXIA 1.0 G Hatchback,RM 427 / month,"RM 32,900",Perodua AXIA,27481 KM,Automatic,"Negeri Sembilan, Seremban"
2016 Honda City 1.5 V Sedan,RM 489 / month,"RM 37,700",Honda City,97594 KM,Automatic,"Negeri Sembilan, Seremban"
2016 Honda Civic 1.8 S Sedan,RM 736 / month,"RM 56,800",Honda Civic,143500 KM,Automatic,"Negeri Sembilan, Seremban"
2016 Proton Persona 1.6 Standard Sedan,RM 311 / month,"RM 24,000",Proton Persona,181388 KM,Automatic,"Negeri Sembilan, Seremban"
2016 Perodua AXIA 1.0 SE Hatchback,RM 298 / month,"RM 23,000",Perodua AXIA,117585 KM,Automatic,"Negeri Sembilan, Seremban"
2016 Perodua Myvi 1.5 Advance Hatchback,RM 451 / month,"RM 34,800",Perodua Myvi,32913 KM,Automatic,"Negeri Sembilan, Seremban"
2020 Proton Saga 1.3 Standard Sedan,RM 342 / month,"RM 26,400",Proton Saga,97286 KM,Automatic,"Negeri Sembilan, Seremban"
2021 Perodua Myvi 1.5 AV Hatchback - ONE OWNER GOOD CONDITION,RM 502 / month,"RM 38,700",Perodua Myvi,90 - 95K KM,Automatic,"Selangor, Puchong"
2014 Perodua Myvi 1.3 XT EZi Hatchback,RM 337 / month,"RM 26,000",Perodua Myvi,175055 KM,Automatic,"Negeri Sembilan, Seremban"
2022 Mercedes-Benz E300 2.0 AMG Line Sedan - AUTO SELECTION,"RM 3,021 / month","RM 233,000",Mercedes-Benz E300,60 - 65K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2014 Proton Exora 1.6 Bold CFE Premium MPV,Special offer - call now!,4 days 10 hours,Proton Exora,115 - 120K KM,Automatic,"Kelantan, Kota Bharu"
2011 Volkswagen Polo 1.2 TSI Hatchback - WITH WARRANTY,RM 226 / month,"RM 17,400",Volkswagen Polo,150 - 155K KM,Automatic,"Selangor, Petaling Jaya"
2012 Perodua Myvi 1.3 EZ Hatchback - WITH WARRANTY,RM 232 / month,"RM 17,900",Perodua Myvi,135 - 140K KM,Automatic,"Selangor, Petaling Jaya"
2023 BMW 330i 2.0 M Sport Sedan - 14k km Facelift,"RM 2,969 / month","RM 229,000",BMW 330i,10 - 15K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2014 Honda City 1.5 E Sedan,RM 412 / month,"RM 31,800",Honda City,130 - 135K KM,Automatic,"Penang, Juru"
2018 Honda Jazz 1.5 V Hatchback,"RM 56,651  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 56,651"" and is now 1% below market price","-1% RM 56,000",Honda Jazz,85 - 90K KM,Automatic,"Kedah, Alor Setar"
2018 Honda Jazz 1.5 S Hatchback - GOOD CONDITION,RM 646 / month,"RM 49,800",Honda Jazz,75 - 80K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2014 Kia Cerato 1.6 Sedan - VERY GOOD CONDITION WITH WARRANTY,RM 323 / month,"RM 24,900",Kia Cerato,65 - 70K KM,Automatic,"Selangor, Petaling Jaya"
2023 Mazda 3 2.0 SKYACTIV-G High Sedan,"RM 1,595 / month","RM 123,000",Mazda 3,30 - 35K KM,Automatic,"Sarawak, Kuching"
2017 Toyota Vios 1.5 E Sedan - WITH WARRANTY,RM 576 / month,"RM 44,400",Toyota Vios,90 - 95K KM,Automatic,"Selangor, Petaling Jaya"
2021 Mitsubishi Xpander 1.5 MPV - CERTIFIED CAR,RM 875 / month,"RM 67,500",Mitsubishi Xpander,75 - 80K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2016 Honda Accord 2.4 VTi-L Sedan,RM 796 / month,"RM 61,400",Honda Accord,150 - 155K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2016 Perodua Alza 1.5 EZ MPV - WITH WARRANTY,RM 399 / month,"RM 30,800",Perodua Alza,135 - 140K KM,Automatic,"Selangor, Petaling Jaya"
2016 Honda City 1.5 V Sedan - END OF YEAR SALE,RM 489 / month,"RM 37,700",Honda City,95 - 100K KM,Automatic,"Negeri Sembilan, Seremban"
2019 Perodua Bezza 1.3 X Premium Sedan - SUPER NICE CONDITION WITH WARRANTY,RM 438 / month,"RM 33,800",Perodua Bezza,85 - 90K KM,Automatic,"Selangor, Petaling Jaya"
2016 Honda City 1.5 V Sedan,RM 489 / month,"RM 37,700",Honda City,97594 KM,Automatic,"Negeri Sembilan, Seremban"
2022 Honda City 1.5 S Hatchback - ONE OWNER FULL SERVICE RECORD BY MALAYSIA,RM 783 / month,"RM 60,400",Honda City,50 - 55K KM,Automatic,"Selangor, Petaling Jaya"
2020 Toyota Yaris 1.5 E Hatchback - WITH WARRANTY,RM 736 / month,"RM 56,800",Toyota Yaris,75 - 80K KM,Automatic,"Selangor, Petaling Jaya"
2014 Perodua Myvi 1.3 EZ Hatchback - WITH WARRANTY,RM 318 / month,"RM 24,500",Perodua Myvi,100 - 105K KM,Automatic,"Selangor, Petaling Jaya"
2017 Kia Sportage 2.0 SUV - WITH WARRANTY,RM 555 / month,"RM 42,800",Kia Sportage,125 - 130K KM,Automatic,"Selangor, Petaling Jaya"
"2020/2023 Toyota Alphard 2.5 G S C Package MPV - SC (A) Pilot Seat , 360 Camera , Sound Stream Android Player (Good Condition)(Buy and Drive)","RM 2,331 / month","RM 179,800",Toyota Alphard,60 - 65K KM,Automatic,"Selangor, Petaling Jaya"
2024 Peugeot 2008 1.2 Allure SUV,"RM 83,497  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 83,497"" and is now 5% below market price","-5% RM 79,400",Peugeot 2008,25 - 30K KM,Automatic,"Penang, Juru"
2022 Mercedes-Benz AMG A45 2.0 S 4MATIC+ Hatchback - S 4MATIC,"RM 3,734 / month","RM 288,000",Mercedes-Benz AMG A45,45 - 50K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2018 Volvo XC60 2.0 T8 Twin Engine Inscription SUV - (A),"RM 97,834  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 97,834"" and is now 19% below market price","-19% RM 78,800",Volvo XC60,180 - 185K KM,Automatic,"Penang, Butterworth"
2024 BMW X3 2.0 xDrive30e M Sport SUV - Free Tinted,"RM 3,306 / month","RM 255,000",BMW X3,5 - 10K KM,Automatic,"Kedah, Alor Setar"
2023 Perodua Bezza 1.3 X Sedan - NEW CAR CONDITION NEGO GO UNDER WARRANTY,RM 424 / month,"RM 32,700",Perodua Bezza,45 - 50K KM,Automatic,"Selangor, Puchong"
2016 Honda HR-V 1.8 S SUV - GOOD CONDITION,RM 424 / month,"RM 32,700",Honda HR-V,115 - 120K KM,Automatic,"Selangor, Puchong"
2022 Perodua Myvi 1.5 AV Hatchback - ONE OWNER GOOD CONDITION,RM 567 / month,"RM 43,700",Perodua Myvi,45 - 50K KM,Automatic,"Selangor, Puchong"
2017 Mercedes-Benz CLA200 1.6 AMG Line Coupe - REGISTER 2018 GOOD CONDITION,RM 943 / month,"RM 72,700",Mercedes-Benz CLA200,100 - 105K KM,Automatic,"Selangor, Puchong"
2018 Mazda CX-5 2.2 SKYACTIV-D GLS SUV - 1 OWNER FULL SERVICE RECORD BY POWER BOOT,RM 661 / month,"RM 51,000",Mazda CX-5,105 - 110K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
2019 Toyota Alphard 2.5 G SC Modellista MPV - REGISTER 2022 SUNROOF,"RM 2,201 / month","RM 169,800",Toyota Alphard,65 - 70K KM,Automatic,"Selangor, Puchong"
2016 Honda Jazz 1.5 S Hatchback - ONE OWNER GOOD CONDITION,RM 476 / month,"RM 36,700",Honda Jazz,75 - 80K KM,Automatic,"Selangor, Puchong"
2024 Toyota Vios 1.5 G Sedan - (A) New Car Condition,"RM 1,022 / month","RM 78,800",Toyota Vios,15 - 20K KM,Automatic,"Johor, Johor Bahru"
2011/2013 Toyota Vellfire 2.4 Z Platinum MPV - Power Boot,RM 749 / month,"RM 57,800",Toyota Vellfire,130 - 135K KM,Automatic,"Johor, Johor Bahru"
2017 Mercedes-Benz C200 2.0 AMG Line Sedan - AMG Fully Convert C63,"RM 1,112 / month","RM 85,800",Mercedes-Benz C200,100 - 105K KM,Automatic,"Johor, Johor Bahru"
2021 Mazda CX-5 2.0 SKYACTIV-G High SUV - High (A) Full Service Record,"RM 1,203 / month","RM 92,800",Mazda CX-5,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2017/2021 Mercedes-Benz E300 2.0 AMG Line Coupe - AMG Carking,"RM 1,812 / month","RM 139,800",Mercedes-Benz E300,75 - 80K KM,Automatic,"Johor, Johor Bahru"
2017 Toyota Camry 2.0 E Sedan,RM 892 / month,"RM 68,800",Toyota Camry,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2018 Mercedes-Benz C300 2.0 AMG Line Sedan,"RM 1,683 / month","RM 129,800",Mercedes-Benz C300,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2017 Honda HR-V 1.8 V SUV,RM 607 / month,"RM 46,800",Honda HR-V,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2016 Honda Jazz 1.5 V Hatchback,RM 581 / month,"RM 44,800",Honda Jazz,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2016 Mazda 6 2.0 SKYACTIV-G Sedan - GOOD CONDITION HARI RAYA OFFER,RM 567 / month,"RM 43,700",Mazda 6,95 - 100K KM,Automatic,"Selangor, Puchong"
2016 Mercedes-Benz GLC250 2.0 4MATIC AMG Line SUV - BURMESTER SOUND PANAROMIC ROOF MEMORY SEAT,"RM 1,106 / month","RM 85,300",Mercedes-Benz GLC250,80 - 85K KM,Automatic,"Selangor, Cheras"
2010/2012 Mercedes-Benz E250 1.8 AMG Sport Coupe,RM 503 / month,"RM 38,800",Mercedes-Benz E250,135 - 140K KM,Automatic,"Johor, Johor Bahru"
2021 Honda CR-V 1.5 TC-P SUV - Facelift 2WD Full Spec Full Service Warranty To 2026,"RM 1,294 / month","RM 99,800",Honda CR-V,65 - 70K KM,Automatic,"Selangor, Seri Kembangan"
2018/2019 Mercedes-Benz GLA200 1.6 Night Edition SUV - Facelift Full Service Record Power Boot Paddle Shift,"RM 1,048 / month","RM 80,800",Mercedes-Benz GLA200,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2018/2020 Ford MUSTANG 5.0 GT Coupe,"RM 1,919 / month","RM 148,000",Ford MUSTANG,85 - 90K KM,Automatic,"Johor, Johor Bahru"
